,str,dex,con,int,wis,cha,ac,hp,perception,fortitude,reflex,will,focus,melee_max_bonus,avg_melee_dmg,ranged_max_bonus,avg_ranged_dmg,max_spell_lvl,spell_dc,spell_attack,book,level,name
5036,0,2,0,3,2,1,14,8,4,2,4,6,1,6,3.5,0,0.0,0,15,7,Pathfinder Society Quest #27: Within the Glacier,-1,Skeleton Adept
5037,2,1,1,4,1,1,15,35,7,7,7,9,1,8,6.5,0,0.0,1,18,10,Pathfinder Society Quest #27: Within the Glacier,2,Skeleton Coven Aspirant
5025,0,2,0,4,3,2,17,37,11,6,7,11,0,14,12.0,0,0.0,0,0,0,Pathfinder Society Scenario #7-08: The Haunted Corridor,3,Lyari Zinfeld (3-4)
5026,0,2,0,4,3,2,14,16,9,4,5,9,0,9,4.5,0,0.0,0,0,0,Pathfinder Society Scenario #7-08: The Haunted Corridor,1,Lyari Zinfeld
5027,-2,3,1,-5,1,-3,14,14,5,2,7,4,0,0,0.0,0,0.0,0,0,0,Pathfinder Society Scenario #7-08: The Haunted Corridor,1,Partially Decomposed Rat Swarm
5028,-2,3,1,-5,1,-3,17,31,9,5,10,6,0,0,0.0,0,0.0,0,0,0,Pathfinder Society Scenario #7-08: The Haunted Corridor,3,Recently Slain Rat Swarm
5029,-4,3,-1,-1,2,2,17,19,7,5,11,9,0,12,6.5,0,0.0,0,0,0,Pathfinder Society Scenario #7-08: The Haunted Corridor,2,Shriveled Leaf of Talhindir
5030,-5,2,-2,-2,1,2,15,9,5,3,9,7,0,9,3.5,0,0.0,0,0,0,Pathfinder Society Scenario #7-08: The Haunted Corridor,0,Withered Leaf of Talhindir
5334,4,3,1,0,3,3,17,32,9,5,9,9,0,10,8.5,0,0.0,1,18,10,Pathfinder Season of Ghosts Hardcover Compilation,2,Meokdan
5335,5,3,2,2,3,3,17,58,11,8,11,13,0,14,14.0,0,0.0,2,21,13,Pathfinder Season of Ghosts Hardcover Compilation,4,Sojiruh
5337,4,2,0,2,4,6,25,90,15,11,13,17,1,16,16.5,0,0.0,4,25,17,Pathfinder Season of Ghosts Hardcover Compilation,7,Xin Yue
5350,4,4,4,4,4,4,22,93,14,14,11,17,0,15,13.0,0,0.0,3,24,16,Pathfinder Season of Ghosts Hardcover Compilation,6,Noppera-Bo Impersonator (Occult)
5339,-5,4,2,4,6,6,23,85,18,11,15,17,0,15,16.0,0,0.0,4,25,17,Pathfinder Season of Ghosts Hardcover Compilation,7,Zhi Hui
5340,5,5,3,3,3,7,29,175,19,17,21,19,0,21,21.5,0,0.0,5,29,21,Pathfinder Season of Ghosts Hardcover Compilation,10,Akashti
5341,5,4,2,-5,0,-5,23,65,9,11,13,7,0,14,15.0,0,0.0,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,5,Animated Axe
5342,2,2,3,1,4,2,24,135,16,15,14,18,0,17,14.0,0,0.0,4,26,18,Pathfinder Season of Ghosts Hardcover Compilation,8,Exorcist
5344,3,2,1,4,0,4,25,135,15,15,18,16,0,21,19.5,0,0.0,0,28,20,Pathfinder Season of Ghosts Hardcover Compilation,9,Heh Shan-Bao
5345,4,6,3,3,6,4,25,135,16,15,16,18,0,19,19.5,0,0.0,4,26,18,Pathfinder Season of Ghosts Hardcover Compilation,8,Kagekuma
5346,5,2,4,1,0,4,29,220,17,24,18,21,0,24,30.5,0,0.0,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,11,Mago Kai
5347,4,4,4,4,4,4,22,93,14,14,11,17,0,15,13.0,0,0.0,3,24,16,Pathfinder Season of Ghosts Hardcover Compilation,6,Noppera-Bo Impersonator (Arcane)
5348,4,4,4,4,4,4,22,93,14,14,11,17,0,15,13.0,0,0.0,3,24,16,Pathfinder Season of Ghosts Hardcover Compilation,6,Noppera-Bo Impersonator (Divine)
5349,4,4,4,4,4,4,22,93,14,17,14,11,0,17,15.0,0,0.0,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,6,Noppera-Bo Impersonator (Martial)
5332,6,2,5,-2,2,0,23,100,15,15,13,12,0,17,18.5,0,0.0,2,24,16,Pathfinder Season of Ghosts Hardcover Compilation,6,Ijda
5351,4,4,4,4,4,4,22,93,14,14,11,17,0,15,13.0,0,0.0,3,24,16,Pathfinder Season of Ghosts Hardcover Compilation,6,Noppera-Bo Impersonator (Primal)
5352,4,4,4,4,4,4,22,93,14,11,17,14,0,15,13.0,0,0.0,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,6,Noppera-Bo Impersonator (Skilled)
5353,-5,6,2,0,3,6,26,100,15,13,19,13,0,18,21.0,0,0.0,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,8,Rin
5338,-5,2,0,2,4,4,23,82,15,11,15,17,0,15,17.0,0,0.0,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,7,Yuni
5331,4,3,5,0,2,0,21,68,10,13,11,8,0,12,11.0,0,0.0,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,4,Heart-Eating Vulture
5323,4,5,3,1,5,0,22,62,14,10,12,14,0,0,0.0,14,0.0,3,21,13,Pathfinder Season of Ghosts Hardcover Compilation,5,Stone Spider
5328,-5,4,2,0,3,3,21,58,12,9,15,12,0,12,16.0,0,0.0,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,5,Dalgyal Gwishin
5308,1,3,4,-5,0,-5,16,14,5,9,8,3,0,0,0.0,0,0.0,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,1,Animated Cookware Swarm
5309,0,3,2,0,2,3,17,32,8,6,9,8,0,9,8.0,0,0.0,1,18,10,Pathfinder Season of Ghosts Hardcover Compilation,2,Fan Hongrui
5310,2,1,1,2,2,4,20,75,11,10,10,13,0,13,12.0,0,0.0,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,5,Hu Ban-Niang
5311,-2,4,0,2,2,2,15,19,7,6,10,7,1,9,1.5,0,0.0,0,17,9,Pathfinder Season of Ghosts Hardcover Compilation,1,Jinkin
5313,2,-1,1,4,3,3,18,70,12,10,8,12,0,11,9.0,0,0.0,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,5,Matsuki Shou
5314,1,2,2,1,0,2,15,18,4,6,5,4,0,7,4.5,0,0.0,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,0,Noppera-bo Grunt
5315,1,3,2,3,0,3,17,30,8,6,9,8,0,7,5.5,0,0.0,1,18,9,Pathfinder Season of Ghosts Hardcover Compilation,2,Noppera-bo Occultist
5316,1,3,2,1,0,3,16,20,5,7,8,5,0,8,4.5,8,3.5,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,1,Noppera-bo Trickster
5317,-5,1,4,-3,2,0,18,22,8,10,5,8,0,7,7.5,0,0.0,1,15,7,Pathfinder Season of Ghosts Hardcover Compilation,2,Phantom Boar
5318,-5,4,1,-4,2,0,15,15,5,5,8,5,0,7,5.5,0,0.0,1,14,6,Pathfinder Season of Ghosts Hardcover Compilation,1,Phantom Gecko
5319,-5,3,0,-3,3,0,15,6,5,2,7,5,0,7,3.5,0,0.0,0,13,5,Pathfinder Season of Ghosts Hardcover Compilation,-1,Phantom Raven
5320,-5,4,1,-3,2,0,15,14,7,6,9,5,0,7,5.5,0,0.0,1,14,6,Pathfinder Season of Ghosts Hardcover Compilation,1,Phantom Wolf
5321,0,3,2,0,2,3,17,32,8,6,9,8,0,9,8.0,0,0.0,1,18,10,Pathfinder Season of Ghosts Hardcover Compilation,2,Red-Hooded Thatchling
5322,8,6,7,5,6,9,40,260,31,32,29,31,0,33,33.0,0,0.0,9,38,30,Pathfinder Season of Ghosts Hardcover Compilation,17,Shinigami
5354,4,6,3,0,4,0,25,119,15,12,17,15,0,17,17.0,0,0.0,2,25,17,Pathfinder Season of Ghosts Hardcover Compilation,7,Shimmerthief
5324,0,3,2,0,2,3,15,16,6,4,7,6,0,5,3.5,0,0.0,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,0,Thatchling
5325,-2,0,0,-2,0,0,12,9,0,2,4,2,1,2,1.5,0,0.0,0,13,5,Pathfinder Season of Ghosts Hardcover Compilation,-1,Very Drunken Jinkin
5326,2,4,3,3,2,4,19,45,8,10,11,7,0,9,6.5,0,0.0,2,20,12,Pathfinder Season of Ghosts Hardcover Compilation,3,Zoudou the Zealous
5327,3,3,4,1,2,1,20,35,9,8,7,4,0,10,9.5,0,0.0,2,20,12,Pathfinder Season of Ghosts Hardcover Compilation,3,Bakeneko
5330,4,2,4,2,5,2,21,80,14,13,9,14,0,14,16.5,0,0.0,3,22,14,Pathfinder Season of Ghosts Hardcover Compilation,5,Guhdggi
5355,1,3,1,2,4,3,27,152,20,14,18,19,0,18,8.5,19,12.0,5,25,17,Pathfinder Season of Ghosts Hardcover Compilation,9,Shrine Maiden
5356,-5,5,4,2,4,0,23,68,14,14,17,12,0,15,15.0,0,0.0,1,24,16,Pathfinder Season of Ghosts Hardcover Compilation,6,Silsyche
5357,-5,6,3,3,6,4,24,88,16,12,14,16,0,16,14.0,0,0.0,3,22,14,Pathfinder Season of Ghosts Hardcover Compilation,7,Willowshore Waldgeist
5365,-5,5,0,4,4,6,31,160,22,18,22,24,0,21,24.5,0,0.0,6,32,24,Pathfinder Season of Ghosts Hardcover Compilation,12,Path Maiden (Spring's Path)
5366,-5,5,0,4,4,6,31,160,22,18,22,24,0,21,24.5,0,0.0,6,32,24,Pathfinder Season of Ghosts Hardcover Compilation,12,Path Maiden
5367,8,7,6,6,5,9,39,295,29,28,31,25,0,27,27.5,23,0.0,5,37,29,Pathfinder Season of Ghosts Hardcover Compilation,16,Ren Mei Li
5368,4,7,4,3,4,6,33,214,22,22,25,20,0,25,24.0,0,0.0,6,32,24,Pathfinder Season of Ghosts Hardcover Compilation,12,Shisagishin
5369,4,3,3,1,1,1,22,105,13,15,11,13,0,15,14.5,14,10.5,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,6,Silkwasp Bandit
5372,2,4,2,0,1,0,20,20,7,8,10,5,0,10,6.5,0,0.0,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,2,Gray Butcher
5374,4,0,3,0,2,2,12,20,8,6,0,2,0,10,10.5,0,0.0,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,2,Kalen Bray
5375,8,1,5,0,5,3,28,155,18,20,16,18,0,21,23.0,0,0.0,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,9,Kugaptee's Centipede
5377,4,2,3,1,2,1,24,102,14,15,15,11,0,15,14.5,15,12.5,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,6,Mercenary Enforcer
5378,3,4,3,2,3,4,18,30,9,7,8,9,0,10,7.5,0,0.0,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,2,Mo Douqiu the Hedonist
5379,5,4,2,1,4,2,24,90,14,12,16,14,0,17,18.5,0,0.0,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,6,Monk of Kugaptee
5380,4,3,3,-2,-1,0,19,65,6,10,12,4,0,12,11.0,11,10.0,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,3,Shrine Caretaker
5381,1,3,1,-5,1,-4,16,18,4,6,8,4,0,8,-0.5,0,0.0,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,1,Stingy
5382,1,5,1,0,4,1,24,100,15,12,16,13,0,16,17.5,0,10.5,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,6,Taunting Monk's Skull
5383,5,2,3,-4,2,-2,17,36,8,9,8,6,0,11,0.0,0,0.0,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,2,Warty
5364,3,6,5,3,6,5,31,180,23,18,23,21,0,23,22.0,0,0.0,4,30,22,Pathfinder Season of Ghosts Hardcover Compilation,11,Imprecasia
5362,7,6,5,5,4,8,35,180,23,24,25,21,0,26,31.5,0,0.0,6,30,22,Pathfinder Season of Ghosts Hardcover Compilation,13,Heh Shan-Bao (Level 13)
5363,5,3,4,3,6,4,29,128,20,20,15,22,0,23,25.0,0,0.0,5,29,21,Pathfinder Season of Ghosts Hardcover Compilation,10,Hong Meigui
5360,5,5,3,3,3,7,32,220,19,20,24,22,0,24,25.0,0,0.0,6,32,24,Pathfinder Season of Ghosts Hardcover Compilation,12,False Governor
5358,4,4,4,0,6,2,27,155,21,15,17,21,0,19,20.0,19,0.0,4,28,20,Pathfinder Season of Ghosts Hardcover Compilation,9,Algriever
5359,8,5,4,6,4,5,34,240,23,23,24,21,0,28,27.0,0,0.0,6,33,25,Pathfinder Season of Ghosts Hardcover Compilation,13,Argyrzei
5361,7,4,5,4,5,4,32,216,23,23,20,23,0,26,20.0,23,18.5,0,0,0,Pathfinder Season of Ghosts Hardcover Compilation,12,Gurglegut (Level 12)
5287,11,8,9,7,7,9,49,575,40,40,37,40,0,44,50.0,41,36.0,10,46,38,Pathfinder #221: Into the Apocalypse Archive,21,The Ashen Man
5286,8,6,8,4,4,6,38,300,28,30,28,24,0,32,32.5,30,28.0,8,35,27,Pathfinder #221: Into the Apocalypse Archive,16,Runic Warmaw
5283,6,8,6,10,8,8,46,385,36,30,34,36,0,36,42.0,0,0.0,10,42,34,Pathfinder #221: Into the Apocalypse Archive,20,Risen Runelord Alaznist
5282,5,6,5,9,6,6,42,333,32,27,30,32,0,33,34.5,0,0.0,9,40,32,Pathfinder #221: Into the Apocalypse Archive,18,Risen Runelord Aethusa II
5281,8,6,5,5,6,8,42,335,32,27,34,30,0,34,39.0,34,26.5,8,38,30,Pathfinder #221: Into the Apocalypse Archive,18,Phantom of Desire
5280,-5,8,0,-2,7,9,44,280,35,28,36,33,1,38,32.0,0,0.0,6,42,34,Pathfinder #221: Into the Apocalypse Archive,20,Lythazossa
5279,1,6,3,1,4,5,41,335,30,27,34,30,0,34,28.0,32,28.0,0,0,0,Pathfinder #221: Into the Apocalypse Archive,18,Lograsi
5278,5,7,5,10,9,8,45,375,35,31,33,36,0,36,34.5,0,0.0,10,47,39,Pathfinder #221: Into the Apocalypse Archive,20,Liralarue
5277,9,6,9,2,5,6,38,330,27,30,28,25,0,32,35.0,0,0.0,0,0,0,Pathfinder #221: Into the Apocalypse Archive,16,Knight of Malice
5275,-5,6,3,3,6,4,42,270,33,28,35,31,0,35,26.0,0,0.0,5,38,30,Pathfinder #221: Into the Apocalypse Archive,19,Erzgeist
5274,9,2,7,2,6,4,38,350,28,33,26,28,1,34,36.5,0,0.0,6,35,27,Pathfinder #221: Into the Apocalypse Archive,16,Commander Yrasthura
5273,6,6,8,10,6,3,43,350,33,34,32,36,0,34,34.0,0,0.0,10,41,33,Pathfinder #221: Into the Apocalypse Archive,19,Belimarius
5272,4,8,10,10,6,10,44,400,34,36,32,34,0,39,28.0,0,0.0,9,42,34,Pathfinder #221: Into the Apocalypse Archive,20,Areelu Vorlesh
5268,9,6,9,-3,6,-5,42,333,30,33,30,28,0,35,34.5,32,35.0,0,0,0,Pathfinder #221: Into the Apocalypse Archive,18,Abysium Sentinel
5271,10,7,6,6,7,8,45,440,36,34,33,35,0,38,41.0,35,27.0,9,42,34,Pathfinder #221: Into the Apocalypse Archive,20,Ancient One
5270,10,7,6,6,7,8,45,440,36,34,33,35,0,41,33.0,35,27.0,9,42,34,Pathfinder #221: Into the Apocalypse Archive,20,Ancient One (The Ashen Man's Anger)
5288,9,6,6,-1,7,9,42,340,33,30,30,33,0,35,34.5,0,0.0,0,0,0,Pathfinder #221: Into the Apocalypse Archive,18,Tormented Hero
5269,7,4,8,-3,4,-5,37,275,27,29,27,24,0,30,31.5,27,30.5,0,0,0,Pathfinder #221: Into the Apocalypse Archive,15,Adamantine Sentinel
5276,8,6,8,4,4,6,42,335,30,34,30,28,0,34,32.5,0,0.0,0,0,0,Pathfinder #221: Into the Apocalypse Archive,18,Goldgorger
5289,10,8,10,9,11,6,48,450,43,36,34,40,0,40,40.0,0,0.0,10,43,35,Pathfinder #221: Into the Apocalypse Archive,21,Watcher
5285,7,9,10,12,6,10,52,560,41,41,38,45,0,45,48.0,47,39.5,10,51,43,Pathfinder #221: Into the Apocalypse Archive,21,Runelord Xanderghul
5284,5,6,5,9,6,6,42,333,32,27,30,32,0,33,34.5,0,0.0,9,40,32,Pathfinder #221: Into the Apocalypse Archive,18,Risen Runelord Jurah
5023,4,6,3,-2,3,4,26,144,16,16,11,19,0,16,17.0,0,0.0,0,0,0,Pathfinder Society Scenario #7-07: Draconic Folly,8,Marshy Snapdrake
5022,6,2,4,0,2,1,24,105,14,16,11,15,1,17,17.0,17,14.0,5,21,13,Pathfinder Society Scenario #7-07: Draconic Folly,6,Lesser Marsh Giant
5020,4,4,3,5,3,15,27,135,16,15,18,16,0,18,19.5,0,0.0,4,27,19,Pathfinder Society Scenario #7-07: Draconic Folly,8,Distracted Zaluraak
5019,3,1,2,4,4,0,22,100,15,13,12,15,1,17,13.5,0,0.0,4,25,17,Pathfinder Society Scenario #7-07: Draconic Folly,7,Demonologist
5021,3,1,2,4,4,0,25,135,18,16,15,18,1,20,16.5,0,0.0,4,28,20,Pathfinder Society Scenario #7-07: Draconic Folly,9,Greater Demonologist
5024,7,0,4,0,1,1,28,180,17,22,15,18,0,22,19.5,0,0.0,0,0,0,Pathfinder Society Scenario #7-07: Draconic Folly,9,Ogre Hunter
5255,6,4,5,5,4,5,31,195,21,24,21,19,0,23,21.0,0,0.0,0,0,0,Pathfinder #220: Crypt of Runes,11,Kraken Caller
5254,3,6,4,1,8,7,35,290,28,22,26,30,0,27,26.5,0,0.0,8,36,28,Pathfinder #220: Crypt of Runes,14,Javownir
5253,8,6,7,5,6,4,38,265,28,31,28,28,0,32,39.5,0,0.0,8,38,30,Pathfinder #220: Crypt of Runes,16,Jandelay Tolokand
5252,5,9,6,-5,6,-4,40,240,29,29,32,27,0,0,0.0,0,0.0,0,0,0,Pathfinder #220: Crypt of Runes,17,Insatiable Bore Worm Swarm
5251,6,6,6,0,3,0,31,195,22,21,22,19,0,24,25.0,0,0.0,0,0,0,Pathfinder #220: Crypt of Runes,11,Elemental Tsunami
5250,7,4,6,-1,6,0,37,255,27,29,23,27,0,30,28.5,0,0.0,0,0,0,Pathfinder #220: Crypt of Runes,15,Elder Shantak
5249,5,7,5,9,7,7,41,330,33,29,33,35,0,34,26.5,0,0.0,9,40,32,Pathfinder #220: Crypt of Runes,18,Dream Aethusa
5248,8,3,7,9,6,5,41,375,32,35,29,32,1,34,29.5,0,0.0,6,37,29,Pathfinder #220: Crypt of Runes,18,Czaresia
5247,10,5,6,-5,5,-5,40,315,30,31,28,26,0,33,37.5,0,0.0,0,0,0,Pathfinder #220: Crypt of Runes,17,Clockwork Whale
5246,9,7,5,7,8,5,38,350,31,26,32,29,0,23,34.5,0,0.0,9,38,30,Pathfinder #220: Crypt of Runes,17,Bittersweet Sister
5245,9,4,9,7,5,6,42,360,31,35,28,31,1,37,33.5,0,0.0,8,40,32,Pathfinder #220: Crypt of Runes,18,Baolen
5244,-5,6,5,5,6,9,39,235,29,28,31,30,0,31,36.0,0,0.0,9,38,30,Pathfinder #220: Crypt of Runes,17,Animate Nightmare
5243,3,5,2,7,2,4,36,260,25,23,28,25,0,28,23.0,0,0.0,7,36,28,Pathfinder #220: Crypt of Runes,15,Aethusa
5266,5,8,5,6,4,3,36,255,26,26,28,25,0,29,25.5,0,0.0,6,34,26,Pathfinder #220: Crypt of Runes,14,Silent Devotee
5265,6,6,5,9,6,6,38,195,30,25,28,30,0,29,33.5,0,0.0,8,37,29,Pathfinder #220: Crypt of Runes,16,Risen Runelord Xirie
5264,6,6,5,9,6,6,38,195,30,25,28,30,0,29,33.5,0,0.0,8,37,29,Pathfinder #220: Crypt of Runes,16,Risen Runelord of Envy (Prison)
5263,6,6,5,9,6,6,42,333,32,29,32,34,0,34,35.5,0,0.0,9,37,29,Pathfinder #220: Crypt of Runes,18,Risen Runelord Karzoug
5262,6,6,5,9,6,6,38,195,30,25,28,30,0,29,33.5,0,0.0,8,37,29,Pathfinder #220: Crypt of Runes,16,Risen Runelord Kaliphesta
5261,6,6,5,9,6,6,38,195,30,25,28,30,0,29,33.5,0,0.0,8,37,29,Pathfinder #220: Crypt of Runes,16,Risen Runelord Haphrama
5260,8,4,7,-5,3,-5,36,200,23,28,24,21,0,28,28.5,0,0.0,0,0,0,Pathfinder #220: Crypt of Runes,14,Ravenous Crypt
5259,8,6,6,-4,4,-2,37,270,27,27,29,23,0,29,33.5,0,0.0,0,0,0,Pathfinder #220: Crypt of Runes,15,Quoroc
5258,-5,8,5,8,7,7,39,240,31,26,33,30,0,0,0.0,0,0.0,9,42,34,Pathfinder #220: Crypt of Runes,17,Peacock Phoenix
5257,6,7,5,7,5,5,34,255,24,22,26,24,1,28,21.0,0,0.0,7,33,25,Pathfinder #220: Crypt of Runes,13,Maze-Weaver
5256,6,4,5,6,4,6,36,251,24,25,22,26,0,28,17.0,0,0.0,7,34,26,Pathfinder #220: Crypt of Runes,14,Maddenmist
5267,8,2,8,5,7,5,40,340,31,34,26,31,0,0,0.0,0,0.0,7,40,32,Pathfinder #220: Crypt of Runes,18,Vogorond
2896,4,8,7,6,5,2,40,220,29,25,31,27,0,32,12.5,30,23.5,0,0,0,Pathfinder Monster Core 2,16,Thousand Thieves
2895,4,4,3,3,5,3,25,125,18,16,13,18,1,17,17.0,0,0.0,4,25,17,Pathfinder Monster Core 2,7,Theletos
2893,6,6,4,3,5,7,34,270,26,21,23,26,1,28,28.5,0,0.0,7,34,24,Pathfinder Monster Core 2,13,Thanadaemon
2894,10,4,9,8,6,8,46,540,36,37,34,35,0,42,47.0,39,30.5,9,45,37,Pathfinder Monster Core 2,21,Thanatotic Titan
2909,2,6,4,-5,3,-5,26,90,16,17,15,12,0,19,14.0,0,0.0,3,24,16,Pathfinder Monster Core 2,7,Tupilaq
2898,4,4,3,-2,0,3,21,80,14,15,12,9,0,13,16.0,0,0.0,0,0,0,Pathfinder Monster Core 2,5,Tiger Topiary
2952,0,4,0,2,1,2,16,15,6,3,9,8,0,9,3.5,0,0.0,0,0,0,Pathfinder Monster Core 2,1,Wyrwood Sneak
2951,5,2,4,3,7,6,32,160,23,20,20,25,0,24,3.5,0,0.0,6,33,25,Pathfinder Monster Core 2,12,Worm Prophet
2950,2,4,1,-5,2,0,16,12,8,3,8,6,0,8,4.5,0,0.0,0,0,0,Pathfinder Monster Core 2,0,Wolf Skeleton
